Prefix,Next Activity - Ground Truth,Role Prefix,Next Role,Time Between Prefix,Next Activity - Prediction,Correct Prediction
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.903912019031535]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.903912019031535, -1.0910354331737393]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0975035749106015]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0975035749106015, 0.9246462249686437]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",8,"[1, 1]",1,"[-1.4224766107948632, 0.7376101399952606]",10,0
"[1, 12, 8]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7376101399952606, 0.7478521260916378]",10,1
"[1, 12, 8, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7376101399952606, 0.7478521260916378, 1.098714339990429]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5045517137983707]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5045517137983707, -0.8675345679213046]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.9855962974934955]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9855962974934955, 0.25845474853956474]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9855962974934955, 0.25845474853956474, 0.4749356651171526]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8878108214624125]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8878108214624125, 0.3040103968297131]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.6122151110768111]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.6122151110768111, 0.16263595411042062]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.6122151110768111, 0.16263595411042062, 0.47528161237078587]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.8415475924094916]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7427685812732984]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7427685812732984, 0.5534425877729938]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8121063233660725]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8121063233660725, 0.8437474773431851]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.7703553328636185]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7703553328636185, 0.3164589127613376]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7703553328636185, 0.3164589127613376, 0.4479247610084897]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7703553328636185, 0.3164589127613376, 0.4479247610084897, 0.04658940689796523]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.010843307285669276]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.010843307285669276, 0.7781124370422969]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.010843307285669276, 0.7781124370422969, 1.0329821073957481]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.8190175078254007]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8190175078254007, 0.9019064994658077]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.8190175078254007, 0.9019064994658077, -0.010201773300233887]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.00669058734692409]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.00669058734692409, -1.117291467080468]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.7883404910125317]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7883404910125317, 0.9031412897643764]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7883404910125317, 0.9031412897643764, 0.7010502422288841]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.5089047091912278]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.5089047091912278, -0.4175643708004008]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.0054450180722246284]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.0054450180722246284, 0.5055300835462502]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.7167886048893304]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.4562128224349286]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.4562128224349286, 0.5397302151203244]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.4562128224349286, 0.5397302151203244, 0.9616323378002828]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.4562128224349286, 0.5397302151203244, 0.9616323378002828, 0.011981027825308311]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.15684399233838534]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.15684399233838534, -0.09508804442498761]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.7368502444571667]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7368502444571667, -1.0682914220782906]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7368502444571667, -1.0682914220782906, -0.4573307455947101]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.7488937696810568]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7488937696810568, 0.6248828388529472]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7488937696810568, 0.6248828388529472, 0.7801150370868541]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7488937696810568, 0.6248828388529472, 0.7801150370868541, 0.8931908036314345]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.999229737508277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.999229737508277, -0.8742149171455349]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",1,"[1, 1]",1,"[-1.4224766107948632, -0.8121063233660725]",12,0
"[6, 1, 1]",1,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8121063233660725, 0.9984964730524342]",12,0
"[6, 1, 1, 1]",12,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8121063233660725, 0.9984964730524342, 1.0486770333090218]",12,1
"[6, 1, 1, 1, 12]",10,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8121063233660725, 0.9984964730524342, 1.0486770333090218, -1.0302840343980082]",10,1
"[6, 1, 1, 1, 12, 10]",2,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8121063233660725, 0.9984964730524342, 1.0486770333090218, -1.0302840343980082, -0.9729737036015484]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.7338355273182129]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7338355273182129, -0.8375756257504222]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7338355273182129, -0.8375756257504222, 0.9964766511805844]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 1.1461793779317748]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7911947651301765]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7911947651301765, 0.6353638343925085]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9474643364184204]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9474643364184204, 0.6466952103063663]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9474643364184204, 0.6466952103063663, 0.6972114317567372]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.08041996449822679]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.08041996449822679, -0.7941605752536266]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.30241049694955124]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.30241049694955124, 0.624258108958184]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9958501122711928]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9958501122711928, -0.26290098701627374]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9958501122711928, -0.26290098701627374, 0.29816925475579864]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9958501122711928, -0.26290098701627374, 0.29816925475579864, -0.09037568492100691]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9372179633336621]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9372179633336621, 0.8676089179738083]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.8434725839794676]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8434725839794676, -0.1157568171658101]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.8434725839794676, -0.1157568171658101, 0.7527665529766016]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.8156999045672081]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8156999045672081, 0.182492864310293]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.8156999045672081, 0.182492864310293, 0.9053427877419146]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",8,"[1, 1]",1,"[-1.4224766107948632, -0.7063036292302475]",10,0
"[1, 12, 8]",3,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175]",10,0
"[1, 12, 8, 3]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175, 0.7450241156309416]",10,1
"[1, 12, 8, 3, 10]",7,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175, 0.7450241156309416, 0.7586821821328625]",2,0
"[1, 12, 8, 3, 10, 7]",5,"[1, 1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175, 0.7450241156309416, 0.7586821821328625, 0.0943847458860334]",12,0
"[1, 12, 8, 3, 10, 7, 5]",13,"[1, 1, 1, 1, 1, 1, 1]",2,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175, 0.7450241156309416, 0.7586821821328625, 0.0943847458860334, -1.4224766107948632]",2,0
"[1, 12, 8, 3, 10, 7, 5, 13]",2,"[1, 1, 1, 1, 1, 1, 1, 2]",1,"[-1.4224766107948632, -0.7063036292302475, 0.7877730746085175, 0.7450241156309416, 0.7586821821328625, 0.0943847458860334, -1.4224766107948632, -0.40803627170025064]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0682914220782906]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0682914220782906, 0.1608939398355091]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9589669766533427]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9589669766533427, 0.6436194606761779]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9589669766533427, 0.6436194606761779, 1.060482698954533]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.49941742599877786]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.49941742599877786, -0.408478106116032]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.5191802150880429]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.5191802150880429, -0.7666922439033917]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.5191802150880429, -0.7666922439033917, -1.048229782510454]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.15097092776393692]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.15097092776393692, -0.24812765214006327]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.7064445832222325]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7064445832222325, -0.0962867909255349]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7064445832222325, -0.0962867909255349, 0.6032985260498889]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, 0.7064445832222325, -0.0962867909255349, 0.6032985260498889, 1.023411039457974]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -1.048229782510454]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.8082862912998862]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -1.048229782510454, 0.8082862912998862, -0.025092034573163426]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.9945640934073181]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9945640934073181, 0.15910233020161826]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.9945640934073181, 0.15910233020161826, 0.8400605145551272]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9301680529382633]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9301680529382633, -0.08860780323512815]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.47208465448582565]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.47208465448582565, 0.6370566398583176]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.8549119740293576]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8549119740293576, 0.8847560133121017]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.1373825180393773]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1373825180393773, 0.6955099467817065]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.1373825180393773, 0.6955099467817065, 0.9216586943056796]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.1367531747515061]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.1367531747515061, -0.15977946053144682]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.8675345679213046]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8675345679213046, 0.715435655587811]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.8675345679213046, 0.715435655587811, -1.048229782510454]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, 0.15602553496098429]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.15602553496098429, 0.8635646628794637]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.15602553496098429, 0.8635646628794637, 1.0234873102373523]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 1.0733698353431949]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9122223048258175]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9122223048258175, -0.7703553328636185]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.35403583868034716]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.35403583868034716, 0.2826593341302481]",2,1
[12],10,[1],1,[-1.4224766107948632],10,1
"[12, 10]",2,"[1, 1]",1,"[-1.4224766107948632, -0.017083731464245876]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, 0.2307821914997866]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, 0.2307821914997866, 0.6297021830121]",10,1
"[1, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, 0.2307821914997866, 0.6297021830121, -0.5667737527438448]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.082793334634705]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.082793334634705, -1.148345763970199]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9612223498279945]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9612223498279945, -0.6028313407144894]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.7984728833512909]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7984728833512909, 1.0149305971717355]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.4636332010350635]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.4636332010350635, 0.7872037616309357]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.43370497029474736]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.43370497029474736, 0.49810120585588197]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.49362999745570957]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.49362999745570957, 0.5053770660503005]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.9729737036015484]",10,0
"[1, 12, 14]",12,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, 0.7580155446229598]",10,0
"[1, 12, 14, 12]",10,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, 0.7580155446229598, 0.4863345840580162]",10,1
"[1, 12, 14, 12, 10]",2,"[1, 1, 1, 1, 1]",1,"[-1.4224766107948632, -0.9729737036015484, 0.7580155446229598, 0.4863345840580162, -0.5844706665216428]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.500726785312785]",10,1
"[1, 12, 10]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.500726785312785, 0.6318944217737678]",2,0
"[1, 12, 10, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.500726785312785, 0.6318944217737678, -1.4224766107948632]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.108852194123252]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.108852194123252, 0.26737731301890333]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.24888966419313271]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.24888966419313271, -0.7818424087381136]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",14,"[1, 1]",1,"[-1.4224766107948632, -0.44593337962804175]",10,0
"[1, 12, 14]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.44593337962804175, -0.44759512033818677]",10,1
"[1, 12, 14, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.44593337962804175, -0.44759512033818677, 1.045843945463133]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.15844917324478483]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.15844917324478483, -0.7899547548566939]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.9952090162424267]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.9952090162424267, -0.41296065617866634]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.9209589414604175]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.9209589414604175, -0.19240246185121387]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -1.0302840343980082]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -1.0302840343980082, -0.19592226091157713]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 1.0375805082752239]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 1.0375805082752239, -0.8611063683682496]",2,1
[1],10,[1],1,[-1.4224766107948632],12,0
"[1, 10]",2,"[1, 1]",1,"[-1.4224766107948632, 0.3149216430137362]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7109873758262281]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7109873758262281, -0.03295798154358236]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, -0.999229737508277]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, -0.999229737508277, -0.671893025284503]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.8658313749304936]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.8658313749304936, -0.09607463344935348]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.20628373573534048]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.20628373573534048, 0.7843656989978496]",2,1
[1],12,[1],1,[-1.4224766107948632],12,1
"[1, 12]",10,"[1, 1]",1,"[-1.4224766107948632, 0.7916419107222015]",10,1
"[1, 12, 10]",2,"[1, 1, 1]",1,"[-1.4224766107948632, 0.7916419107222015, 0.5022811687357831]",2,1
[6],1,[1],1,[-1.4224766107948632],1,1
"[6, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.7399192837371559]",12,1
"[6, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.7399192837371559, 0.5451715336236955]",10,1
"[6, 1, 12, 10]",2,"[1, 1, 1, 1]",1,"[-1.4224766107948632, -0.7399192837371559, 0.5451715336236955, 0.883586866401981]",2,1
[1],1,[1],1,[-1.4224766107948632],12,0
"[1, 1]",12,"[1, 1]",1,"[-1.4224766107948632, -0.8811680079360862]",12,1
"[1, 1, 12]",10,"[1, 1, 1]",1,"[-1.4224766107948632, -0.8811680079360862, -0.12989343944247694]",10,1
